title,basic_info,amenities,address,type,purpose(rent/sale),price_in_BDT,details,page_url,listing_url
A SEMI FURNISHED APARTMENT @BANANI," 3200 sqft, 4 bd, 5 ba","Intercom,Electricity,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Child Allowed","Banani, Banani, Dhaka",Apartment/Flats,Rent, 210000/mo,"Property Condition:  New,,Available For:  Family,,Floor Number:  4,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Semi-Furnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Nagotiable:  Yes,,Service Charge:  13000,,Advance Deposit:  420000,",http://www.rentalhomebd.com/properties?page=2,http://www.rentalhomebd.com/properties/a-semi-furnished-apartment-at-banani/455
A 5500SQFT apartment is up for rent @Banani," 5500 sqft, 5 bd, 5 ba","Intercom,Electricity,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Child Allowed","Banani, Banani, Dhaka",Apartment/Flats,Rent, 600000/mo,"Property Condition:  New,,Available For:  Family,,Floor Number:  1,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Nagotiable:  Yes,,Service Charge:  30000,,Advance Deposit:  1200000,",http://www.rentalhomebd.com/properties?page=2,http://www.rentalhomebd.com/properties/a-5500sqft-apartment-is-up-for-rent-at-banani/456
Unfurnished apartment is now up for rent at @Gulshan area," 3500 sqft, 4 bd, 4 ba","Intercom,Electricity,Safety Grill,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Child Allowed","Gulshan-1, Gulshan-1, Dhaka",Apartment/Flats,Rent, 320000/mo,"Property Condition:  New,,Available For:  Family,,Floor Number:  1,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Nagotiable:  Yes,,Service Charge:  15000,,Advance Deposit:  640000,",http://www.rentalhomebd.com/properties?page=2,http://www.rentalhomebd.com/properties/unfurnished-apartment-is-now-up-for-rent-at-at-gulshan-area/458
A semi-furnished apartment is now up for rent @Gulshan area," 3400 sqft, 4 bd, 4 ba","Intercom,Fire Alarm,Electricity,Safety Grill,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Child Allowed","Gulshan, Gulshan-1, Dhaka",Apartment/Flats,Rent, 170000/mo,"Property Condition:  New,,Available For:  Family,,Floor Number:  4,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Semi-Furnished,,Car Parking:  Available,,Nagotiable:  Yes,,Service Charge:  9500,,Advance Deposit:  240000,",http://www.rentalhomebd.com/properties?page=2,http://www.rentalhomebd.com/properties/a-semi-furnished-apartment-is-now-up-for-rent-at-gulshan-area/457
2300SQFT UNFURNISHED APARTMENT @GULSHAN," 2300 sqft, 3 bd, 3 ba","Intercom,Electricity,Safety Grill,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Child Allowed","Gulshan, Gulshan-1, Dhaka",Apartment/Flats,Rent, 190000/mo,"Property Condition:  New,,Available For:  Family,,Floor Number:  5,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Nagotiable:  Yes,,Advance Deposit:  380000,",http://www.rentalhomebd.com/properties?page=2,http://www.rentalhomebd.com/properties/2300sqft-unfurnished-apartment-at-gulshan/459
A fully furnished apartment is up for rent @ Gulshan," 2000 sqft, 3 bd, 3 ba","Intercom,Electricity,Safety Grill,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Child Allowed","Gulshan, Gulshan-1, Dhaka",Apartment/Flats,Rent, 140000/mo,"Property Condition:  New,,Available For:  Family,,Floor Number:  3,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Nagotiable:  Yes,,Advance Deposit:  280000,",http://www.rentalhomebd.com/properties?page=2,http://www.rentalhomebd.com/properties/a-fully-furnished-apartment-is-up-for-rent-at-gulshan/460
Furnished apartment up for rent @Gulshan," 2200 sqft, 3 bd, 3 ba",,"Gulshan, Gulshan-1, Dhaka",Apartment/Flats,Rent, 170000/mo,"Property Condition:  New,,Available For:  Family,,Floor Number:  3,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Unfurnished,,Nagotiable:  Yes,,Advance Deposit:  240000,",http://www.rentalhomebd.com/properties?page=2,http://www.rentalhomebd.com/properties/furnished-apartment-up-for-rent-at-gulshan/461
Furnished apartment up for rent @Gulshan," 2400 sqft, 3 bd, 3 ba","Intercom,Electricity,Safety Grill,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Child Allowed","Gulshan, Gulshan-1, Dhaka",Apartment/Flats,Rent, 130000/mo,"Property Condition:  New,,Available For:  Family,,Floor Number:  2,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Furnished,,Car Parking:  Available,,Nagotiable:  Yes,,Service Charge:  2400,,Advance Deposit:  260000,",http://www.rentalhomebd.com/properties?page=2,http://www.rentalhomebd.com/properties/furnished-apartment-up-for-rent-at-gulshan/463
2888 SQFT furnished apartment @Gulshan," 2888 sqft, 4 bd, 4 ba","Intercom,Fire Alarm,Electricity,Safety Grill,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Child Allowed","Gulshan, Gulshan-1, Dhaka",Apartment/Flats,Rent, 160000/mo,"Property Condition:  New,,Available For:  Family,,Floor Number:  2,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Nagotiable:  Yes,,Service Charge:  12000,,Advance Deposit:  320000,",http://www.rentalhomebd.com/properties?page=2,http://www.rentalhomebd.com/properties/2888-sqft-furnished-apartment-at-gulshan/462
A 2150SQFT APARTMENT @BANANI," 2150 sqft, 3 bd, 3 ba","Intercom,Electricity,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Child Allowed","Banani, Banani, Dhaka",Apartment/Flats,Rent, 130000/mo,"Property Condition:  New,,Available For:  Family,,Floor Number:  4,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Nagotiable:  Yes,,Service Charge:  10000,,Advance Deposit:  260000,",http://www.rentalhomebd.com/properties?page=3,http://www.rentalhomebd.com/properties/a-2150sqft-apartment-at-banani/449
1800 SQFT APARTMENT UP FOR RENT @BANANI," 1800 sqft, 4 bd, 4 ba","Intercom,Electricity,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Child Allowed","Banani, Banani, Dhaka",Apartment/Flats,Rent, 155000/mo,"Property Condition:  New,,Available For:  Family,,Floor Number:  1,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Semi-Furnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Nagotiable:  Yes,,Service Charge:  10000,,Advance Deposit:  310000,",http://www.rentalhomebd.com/properties?page=3,http://www.rentalhomebd.com/properties/1800-sqft-apartment-up-for-rent-at-banani/451
An unfurnished apartment of 3150SQFT up for rent @Banani," 3150 sqft, 4 bd, 4 ba","Intercom,Electricity,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Child Allowed","Banani, Banani, Dhaka",Apartment/Flats,Rent, 170000/mo,"Property Condition:  New,,Available For:  Family,,Floor Number:  8,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Nagotiable:  Yes,,Service Charge:  12500,,Advance Deposit:  340000,",http://www.rentalhomebd.com/properties?page=3,http://www.rentalhomebd.com/properties/an-unfurnished-apartment-of-3150sqft-up-for-rent-at-banani/452
Residential space available now at @Banani," 2850 sqft, 4 bd, 4 ba","Intercom,Electricity,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Child Allowed","Banani, Banani, Dhaka",Apartment/Flats,Rent, 180000/mo,"Property Condition:  New,,Available For:  Family,,Floor Number:  5,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Semi-Furnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Nagotiable:  Yes,,Service Charge:  12000,,Advance Deposit:  360000,",http://www.rentalhomebd.com/properties?page=3,http://www.rentalhomebd.com/properties/residential-space-available-now-at-at-banani/450
OFFICE SPACE UP FOR RENT @mipur," 6000 sqft, 0 bd, 0 ba","Intercom,Electricity,Elevator,Security Guard,CCTV,WASA","Mirpur, Mirpur, Dhaka",Office space,Rent, 630000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  3,,Furnished Status:  Unfurnished,,Nagotiable:  Yes,",http://www.rentalhomebd.com/properties?page=3,http://www.rentalhomebd.com/properties/office-space-up-for-rent-at-mipur/436
Commercial space up for rent @Mirpur," 1650 sqft, 0 bd, 0 ba","Intercom,Electricity,Elevator,Security Guard,CCTV,WASA","Mirpur, Mirpur, Dhaka",Office space,Rent, 140250/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  1,,Furnished Status:  Unfurnished,,Nagotiable:  Yes,",http://www.rentalhomebd.com/properties?page=3,http://www.rentalhomebd.com/properties/commercial-space-up-for-rent-at-mirpur/438
OFFICE SPACE UP FOR RENT @mipur," 6000 sqft, 0 bd, 0 ba","Intercom,Electricity,Elevator,Security Guard,CCTV,WASA","Mirpur, Mirpur, Dhaka",Office space,Rent, 1290000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  1,,Furnished Status:  Unfurnished,,Nagotiable:  Yes,",http://www.rentalhomebd.com/properties?page=3,http://www.rentalhomebd.com/properties/office-space-up-for-rent-at-mipur/437
A 1850 SQFT unfurnished apartment is up for rent @Banani," 1850 sqft, 3 bd, 3 ba","Intercom,Electricity,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Child Allowed","Banani, Banani, Dhaka",Apartment/Flats,Rent, 130000/mo,"Property Condition:  New,,Available For:  Family,,Floor Number:  4,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Nagotiable:  Yes,,Service Charge:  6000,,Advance Deposit:  260000,",http://www.rentalhomebd.com/properties?page=3,http://www.rentalhomebd.com/properties/a-1850-sqft-unfurnished-apartment-is-up-for-rent-at-banani/439
Looking for a classy apartment @Banani!," 1100 sqft, 2 bd, 2 ba","Intercom,Electricity,Safety Grill,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Child Allowed","Banani, Banani, Dhaka",Apartment/Flats,Rent, 105000/mo,"Property Condition:  New,,Available For:  Family,,Floor Number:  2,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Nagotiable:  Yes,,Service Charge:  8000,,Advance Deposit:  210000,",http://www.rentalhomebd.com/properties?page=3,http://www.rentalhomebd.com/properties/looking-for-a-classy-apartment-at-banani/440
A 1850SQFT UNFURNISHED APARTMENT IS UP FOR RENT @BANANI," 1850 sqft, 3 bd, 3 ba","Intercom,Electricity,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Child Allowed","Banani, Banani, Dhaka",Apartment/Flats,Rent, 120000/mo,"Property Condition:  New,,Available For:  Family,,Floor Number:  2,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Nagotiable:  Yes,,Service Charge:  5500,,Advance Deposit:  240000,",http://www.rentalhomebd.com/properties?page=3,http://www.rentalhomebd.com/properties/a-1850sqft-unfurnished-apartment-is-up-for-rent-at-banani/441
A furnished apartment of 2300SQFT @Banani," 2300 sqft, 3 bd, 3 ba","Intercom,Electricity,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Child Allowed","Banani, Banani, Dhaka",Apartment/Flats,Rent, 130000/mo,"Property Condition:  New,,Available For:  Family,,Floor Number:  3,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Nagotiable:  Yes,,Service Charge:  8000,,Advance Deposit:  260000,",http://www.rentalhomebd.com/properties?page=3,http://www.rentalhomebd.com/properties/a-furnished-apartment-of-2300sqft-at-banani/442
A 3100SQFT OFFICE SPACE AT @BANANI," 3100 sqft, 0 bd, 0 ba","Intercom,Electricity,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Child Allowed","Banani, Banani, Dhaka",Office space,Rent, 240000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  3,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Nagotiable:  Yes,,Service Charge:  12000,",http://www.rentalhomebd.com/properties?page=3,http://www.rentalhomebd.com/properties/a-3100sqft-office-space-at-at-banani/443
An unfurnished 2150 SQFT apartment up for rent @Banani," 2150 sqft, 4 bd, 4 ba","Intercom,Electricity,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Child Allowed","Banani, Banani, Dhaka",Apartment/Flats,Rent, 130000/mo,"Property Condition:  New,,Available For:  Family,,Floor Number:  2,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Nagotiable:  Yes,,Service Charge:  8000,,Advance Deposit:  260000,",http://www.rentalhomebd.com/properties?page=3,http://www.rentalhomebd.com/properties/an-unfurnished-2150-sqft-apartment-up-for-rent-at-banani/445
An amazing 2200 SQFT furnished apartment @ Banani," 2200 sqft, 3 bd, 3 ba","Intercom,Electricity,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Child Allowed","Banani, Banani, Dhaka",Apartment/Flats,Rent, 150000/mo,"Property Condition:  New,,Available For:  Family,,Floor Number:  2,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Furnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Nagotiable:  Yes,,Service Charge:  9000,,Advance Deposit:  300000,",http://www.rentalhomebd.com/properties?page=3,http://www.rentalhomebd.com/properties/an-amazing-2200-sqft-furnished-apartment-at-banani/446
A SEMI FURNISHED APARTMENT @BANANI," 2150 sqft, 3 bd, 4 ba","Intercom,Electricity,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Child Allowed","Banani, Banani, Dhaka",Apartment/Flats,Rent, 150000/mo,"Property Condition:  New,,Available For:  Family,,Floor Number:  6,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Semi-Furnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Nagotiable:  Yes,,Service Charge:  9000,,Advance Deposit:  300000,",http://www.rentalhomebd.com/properties?page=3,http://www.rentalhomebd.com/properties/a-semi-furnished-apartment-at-banani/447
An apartment is now up for rent @Banani," 2200 sqft, 3 bd, 3 ba","Intercom,Electricity,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Child Allowed","Banani, Banani, Dhaka",Apartment/Flats,Rent, 135000/mo,"Property Condition:  New,,Available For:  Family,,Floor Number:  5,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Nagotiable:  Yes,,Service Charge:  8000,,Advance Deposit:  270000,",http://www.rentalhomebd.com/properties?page=3,http://www.rentalhomebd.com/properties/an-apartment-is-now-up-for-rent-at-banani/448
OFFICE SPACE UP FOR RENT @mipur," 6000 sqft, 0 bd, 0 ba","Intercom,Electricity,Elevator,Security Guard,CCTV,WASA","Mirpur, Mirpur, Dhaka",Office space,Rent, 360000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  4,,Furnished Status:  Unfurnished,,Nagotiable:  Yes,",http://www.rentalhomebd.com/properties?page=4,http://www.rentalhomebd.com/properties/office-space-up-for-rent-at-mipur/435
An unfurnished 2800 SQFT apartment @ Baridhara Diplomatic Zone," 2800 sqft, 3 bd, 4 ba","Intercom,Electricity,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Child Allowed","Baridhara Diplomatic Zone, Baridhara, Dhaka",Apartment/Flats,Rent, 185000/mo,"Property Condition:  New,,Available For:  Family,,Floor Number:  3,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Nagotiable:  Yes,,Advance Deposit:  370000,",http://www.rentalhomebd.com/properties?page=4,http://www.rentalhomebd.com/properties/an-unfurnished-2800-sqft-apartment-at-baridhara-diplomatic-zone/422
A CLASSY 2400 SQFT APARTMENT @ BARIDHARA DIPLOMATIC ZONE," 2400 sqft, 3 bd, 4 ba","Intercom,Electricity,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Child Allowed","Baridhara Diplomatic Zone, Baridhara, Dhaka",Apartment/Flats,Rent, 180000/mo,"Property Condition:  New,,Available For:  Family,,Floor Number:  4,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Nagotiable:  Yes,,Service Charge:  10000,,Advance Deposit:  360000,",http://www.rentalhomebd.com/properties?page=4,http://www.rentalhomebd.com/properties/a-classy-2400-sqft-apartment-at-baridhara-diplomatic-zone/421
A commercial open space of 2246 SQFT up for rent @ Uttara," 2246 sqft, 0 bd, 0 ba","Intercom,Fire Alarm,Electricity,Elevator,Security Guard,CCTV,WASA,Guard's Room","Uttara, Uttara, Dhaka",Office space,Rent, 280750/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  2,,Furnished Status:  Unfurnished,,Nagotiable:  Yes,,Advance Deposit:  561500,",http://www.rentalhomebd.com/properties?page=4,http://www.rentalhomebd.com/properties/a-commercial-open-space-of-2246-sqft-up-for-rent-at-uttara/420
A 3000 SQFT SEMI FURNISHED APARTMENT @BARIDHARA DIPLOMATIC ZONE," 3000 sqft, 4 bd, 5 ba","Intercom,Electricity,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Child Allowed","Baridhara Diplomatic Zone, Baridhara, Dhaka",Apartment/Flats,Rent, 200000/mo,"Property Condition:  New,,Available For:  Family,,Floor Number:  3,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Semi-Furnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Nagotiable:  Yes,,Service Charge:  10000,,Advance Deposit:  400000,",http://www.rentalhomebd.com/properties?page=4,http://www.rentalhomebd.com/properties/a-3000-sqft-semi-furnished-apartment-at-baridhara-diplomatic-zone/423
An amazing 2300 SQFT furnished apartment @ Baridhara Diplomatic Zone," 2300 sqft, 3 bd, 4 ba","Intercom,Electricity,Safety Grill,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Child Allowed","Baridhara Diplomatic Zone, Baridhara, Dhaka",Apartment/Flats,Rent, 170000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  3,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Furnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Nagotiable:  Yes,,Service Charge:  8000,,Advance Deposit:  340000,",http://www.rentalhomebd.com/properties?page=4,http://www.rentalhomebd.com/properties/an-amazing-2300-sqft-furnished-apartment-at-baridhara-diplomatic-zone/424
A 2250 SQFT APARTMENT @BARIDHARA DIPLOMATIC ZONE IS UP FOR RENT NOW," 2250 sqft, 3 bd, 4 ba","Intercom,Electricity,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Child Allowed","Baridhara Diplomatic Zone, Baridhara, Dhaka",Apartment/Flats,Rent, 180000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  3,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Furnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Nagotiable:  Yes,,Advance Deposit:  360000,",http://www.rentalhomebd.com/properties?page=4,http://www.rentalhomebd.com/properties/a-2250-sqft-apartment-at-baridhara-diplomatic-zone-is-up-for-rent-now/425
Commercial Space @Mirpur," 1100 sqft, 0 bd, 0 ba","Intercom,Electricity,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Child Allowed","Mirpur, Mirpur, Dhaka",Office space,Rent, 71500/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  2,,Furnished Status:  Unfurnished,,Nagotiable:  Yes,",http://www.rentalhomebd.com/properties?page=4,http://www.rentalhomebd.com/properties/commercial-space-at-mirpur/426
